votetsai,green,kmt,dpp,pfp,npp,noparty,unify,indep,statusquo,edu,taiwanese,income,age,south,dadmainland,female,econworse,inequality,pubwelf
0,0,0,0,0,0,1,0,0,1,4,1,8,59,0,0,1,0,1,1
1,0,0,0,0,0,1,0,1,0,5,0,7,39,0,0,1,0,1,1
0,0,1,0,0,0,0,0,0,1,5,0,8,63,0,0,0,1,1,1
0,0,0,0,0,0,1,0,1,0,2,1,5,55,0,0,0,1,1,0
0,0,0,0,0,0,1,0,0,0,1,0,,76,0,0,1,0,0,0
1,1,0,1,0,0,0,0,0,1,2,1,9,64,0,0,1,1,1,0
1,0,0,0,0,0,1,0,0,0,1,0,1,75,0,0,0,1,0,0
1,1,0,0,0,1,0,0,1,0,5,1,10,54,0,0,1,1,1,0
1,0,0,0,0,0,1,0,0,0,1,1,2,64,0,0,1,1,1,0
0,0,0,0,0,0,1,0,0,0,1,0,,59,0,0,0,1,1,0
1,1,0,1,0,0,0,0,1,0,1,1,3,66,0,0,0,1,1,0
1,1,0,1,0,0,0,0,1,0,2,1,,25,0,0,1,0,1,0
0,0,0,0,0,0,1,0,0,0,1,0,,92,0,1,1,0,0,0
0,0,1,0,0,0,0,0,1,0,5,1,9,41,0,1,1,0,1,1
0,0,1,0,0,0,0,0,0,1,5,0,1,57,0,0,1,1,0,0
1,0,0,0,0,0,1,0,0,0,1,0,,83,0,0,1,0,1,1
0,0,0,0,0,0,1,0,0,0,3,0,,51,0,0,1,1,1,0
0,0,0,0,0,0,1,0,0,1,4,0,10,61,0,0,0,0,1,0
1,1,0,0,0,1,0,0,0,1,5,1,5,43,0,0,0,1,1,0
1,1,0,1,0,0,0,0,1,0,5,1,9,44,0,0,0,1,1,0
0,0,1,0,0,0,0,0,0,1,4,1,8,39,0,0,1,0,1,1
0,0,1,0,0,0,0,0,0,1,3,1,,34,0,0,1,0,1,1
0,0,0,0,0,0,1,0,0,1,3,0,5,28,0,0,0,0,1,0
0,0,1,0,0,0,0,0,0,1,3,0,10,62,0,0,1,0,0,0
0,0,1,0,0,0,0,1,0,0,1,1,1,89,0,0,0,0,1,1
0,0,0,0,0,0,0,1,0,0,3,0,2,67,0,1,0,1,1,0
0,0,1,0,0,0,0,1,0,0,1,0,1,59,0,0,0,0,1,0
0,0,1,0,0,0,0,0,0,1,3,0,8,46,0,1,0,1,1,0
0,0,0,0,0,0,1,0,0,1,4,1,5,40,0,0,0,1,1,1
0,0,0,0,0,0,1,0,0,1,5,0,1,27,0,0,0,1,1,0
1,1,0,1,0,0,0,0,0,1,3,1,7,52,0,0,0,0,1,1
0,0,0,0,0,0,1,0,1,0,5,1,8,25,0,0,1,0,1,1
1,1,0,1,0,0,0,0,0,1,2,1,3,54,0,0,1,1,1,0
0,0,0,0,0,0,1,0,0,0,1,0,9,33,0,0,1,1,1,0
0,0,1,0,0,0,0,1,0,0,3,0,6,53,0,0,0,0,1,1
0,0,1,0,0,0,0,0,0,1,3,0,4,54,0,1,1,0,1,1
0,0,1,0,0,0,0,1,0,0,3,0,6,35,0,0,0,1,1,0
0,0,1,0,0,0,0,0,0,1,2,0,1,57,0,0,1,0,1,0
0,0,0,0,0,0,1,0,0,0,4,0,7,51,0,0,1,1,1,1
0,0,1,0,0,0,0,0,0,1,5,1,6,22,0,0,1,0,1,0
1,1,0,1,0,0,0,0,1,0,1,1,2,75,0,0,1,1,1,0
1,1,0,1,0,0,0,0,0,1,3,0,8,49,0,0,0,1,1,0
0,0,0,0,0,0,1,0,0,1,3,1,8,24,0,0,0,1,1,1
0,0,1,0,0,0,0,0,0,1,5,0,10,59,0,0,0,1,1,0
1,1,0,1,0,0,0,0,0,1,3,1,1,54,0,0,0,1,1,0
0,0,0,0,0,0,1,0,0,1,3,0,,47,0,1,1,0,1,1
0,0,0,0,0,0,1,0,0,0,1,1,9,65,0,0,1,0,1,0
0,0,0,0,0,0,1,0,1,0,1,1,,76,1,0,0,1,1,0
0,0,0,0,0,0,1,0,1,0,3,1,2,27,1,0,0,1,1,1
0,0,0,0,0,0,1,0,0,1,5,0,8,55,1,0,0,1,1,1
1,0,0,0,0,0,1,0,0,1,5,1,1,35,1,0,0,1,1,0
1,1,0,1,0,0,0,0,0,1,3,1,8,45,1,0,0,1,1,0
0,0,1,0,0,0,0,0,1,0,3,1,2,36,1,0,1,0,1,0
0,0,1,0,0,0,0,0,0,1,3,1,10,28,1,0,1,0,1,1
0,0,0,0,0,0,1,0,0,0,1,1,1,66,1,0,1,0,0,0
1,1,0,1,0,0,0,0,0,1,2,1,1,56,1,0,1,1,1,0
0,0,0,0,0,0,1,0,0,0,1,1,1,55,1,0,1,0,0,0
0,1,0,1,0,0,0,0,1,0,3,1,5,27,1,0,0,0,1,1
1,0,0,0,0,0,1,0,0,0,1,0,,72,1,0,0,0,0,0
1,1,0,1,0,0,0,0,0,1,3,1,8,47,1,0,0,1,1,0
0,0,0,0,0,0,1,1,0,0,3,0,3,50,1,0,1,0,1,0
0,0,1,0,0,0,0,0,0,1,4,0,6,41,1,0,1,0,1,1
1,1,0,1,0,0,0,0,0,1,4,1,8,58,1,0,0,1,1,0
0,0,1,0,0,0,0,0,0,1,3,1,1,38,1,0,0,1,1,1
0,0,0,0,0,0,1,0,0,1,3,1,4,38,1,0,0,1,1,0
1,0,0,0,0,0,1,1,0,0,1,1,,68,1,0,1,1,1,0
1,1,0,1,0,0,0,0,1,0,5,1,4,30,1,0,1,0,1,0
0,0,0,0,0,0,1,0,0,1,5,0,5,37,1,0,1,0,1,0
1,0,0,0,0,0,1,0,0,1,2,1,1,66,1,0,1,1,1,0
0,0,0,0,0,0,1,0,0,1,3,0,6,21,1,0,0,1,1,0
1,1,0,1,0,0,0,0,0,1,3,1,6,45,1,0,0,1,1,0
1,0,0,0,0,0,1,0,0,1,1,1,,56,1,0,1,1,1,0
0,0,1,0,0,0,0,1,0,0,4,0,4,48,1,0,1,0,1,0
0,0,1,0,0,0,0,0,0,1,3,0,1,53,1,0,0,0,0,1
1,1,0,1,0,0,0,0,0,1,5,1,3,31,1,0,1,1,1,1
0,0,0,0,0,0,1,0,0,1,1,1,1,68,1,0,1,1,1,0
1,0,0,0,0,0,1,0,0,1,3,0,2,65,1,0,0,1,1,1
0,0,1,0,0,0,0,0,0,1,3,1,5,47,1,0,0,1,1,1
0,1,0,1,0,0,0,0,1,0,3,1,7,21,1,0,0,1,1,1
0,0,0,0,0,0,1,0,0,1,3,1,2,47,1,0,1,1,1,1
0,1,0,1,0,0,0,0,1,0,5,1,,29,1,0,1,1,1,0
1,0,1,0,0,0,0,0,0,0,1,1,,65,1,0,1,0,1,1
0,0,1,0,0,0,0,0,0,1,1,1,,83,1,0,1,0,0,1
1,1,0,1,0,0,0,1,0,0,4,1,,36,1,0,1,0,1,0
0,0,0,0,0,0,1,0,0,1,5,1,,27,1,0,0,1,1,0
1,0,1,0,0,0,0,0,1,0,3,0,10,53,1,0,1,0,1,1
0,0,0,0,0,0,1,0,0,0,3,0,,44,1,0,1,1,1,1
0,0,0,0,0,0,1,0,1,0,5,1,4,34,1,0,0,1,1,0
0,0,0,0,0,0,1,0,0,0,1,1,,78,1,0,1,1,1,0
0,0,0,0,0,0,1,0,0,0,4,1,,58,1,0,0,1,1,1
0,0,0,0,0,0,1,0,0,1,1,0,2,51,1,0,0,1,1,0
0,0,0,0,0,0,1,0,0,0,1,1,1,86,1,0,1,1,1,0
0,0,0,0,0,0,1,0,0,1,1,1,1,52,1,0,1,0,1,0
0,0,0,0,0,0,1,0,0,0,1,1,1,63,1,0,1,0,1,0
0,0,1,0,0,0,0,0,0,1,3,0,4,40,1,0,1,1,1,0
1,1,0,1,0,0,0,0,0,1,4,1,6,35,1,0,0,1,1,0
1,1,0,1,0,0,0,0,1,0,4,1,,42,1,0,0,0,1,1
1,1,0,1,0,0,0,0,1,0,2,1,1,73,1,0,1,1,1,0
0,0,0,0,0,0,1,0,0,1,5,1,4,25,1,0,1,1,1,1
0,0,0,0,0,0,1,0,1,0,5,0,7,28,1,0,0,0,1,1
1,1,0,1,0,0,0,0,0,1,2,1,,55,1,0,0,0,1,0
1,1,0,1,0,0,0,0,0,0,3,1,3,49,1,1,0,1,1,1
0,0,0,0,0,0,1,0,0,1,5,1,10,26,1,0,1,0,1,1
1,1,0,1,0,0,0,1,0,0,1,1,,70,1,0,1,1,1,1
0,0,0,0,0,0,1,0,0,1,1,1,1,80,1,0,0,0,1,1
1,1,0,1,0,0,0,0,0,1,1,1,,68,1,0,1,1,1,0
0,0,0,0,0,0,1,0,0,1,1,0,1,69,1,0,0,0,1,1
1,1,0,1,0,0,0,0,0,1,1,1,9,58,1,0,1,0,1,0
1,1,0,1,0,0,0,0,0,1,1,1,4,75,1,0,1,0,1,1
1,1,0,1,0,0,0,0,0,1,3,1,,47,1,0,0,0,1,1
0,0,0,0,0,0,1,0,1,0,3,1,1,28,1,0,0,0,1,0
1,0,0,0,0,0,1,0,1,0,5,1,8,43,1,0,1,0,1,0
1,1,0,1,0,0,0,0,1,0,4,1,,37,1,0,0,0,1,1
1,1,0,1,0,0,0,0,1,0,5,1,5,37,1,0,1,1,1,0
0,0,0,0,0,0,1,0,0,1,1,1,,58,1,0,0,1,1,1
1,0,0,0,0,0,1,0,1,0,1,1,,90,1,0,1,0,1,0
1,0,0,0,0,0,1,0,1,0,3,1,3,41,1,0,0,0,1,0
1,0,0,0,0,0,1,0,0,1,2,1,2,49,1,0,0,1,1,0
0,0,0,0,0,0,1,1,0,0,5,0,4,35,1,0,0,0,0,0
1,1,0,1,0,0,0,0,1,0,5,1,3,21,1,0,1,1,1,0
1,0,0,0,0,0,1,0,0,1,1,1,3,67,1,0,1,0,1,0
0,0,0,0,0,0,1,0,1,0,3,1,7,45,1,0,1,1,1,0
1,1,0,1,0,0,0,0,1,0,1,1,3,37,1,0,1,1,1,1
1,1,0,1,0,0,0,0,1,0,1,1,1,60,1,0,1,0,1,0
0,0,0,0,0,0,1,0,0,1,3,0,3,48,1,0,0,0,1,0
0,1,0,1,0,0,0,0,0,1,3,0,5,42,1,0,1,0,1,1
0,0,1,0,0,0,0,0,0,1,5,1,8,22,1,0,1,0,1,0
0,0,0,0,0,0,1,0,0,1,3,1,5,38,1,0,0,1,1,0
1,0,0,0,0,0,1,1,0,0,2,0,1,33,1,0,1,0,0,0
0,0,1,0,0,0,0,0,0,1,3,1,5,36,1,0,1,1,1,1
1,1,0,1,0,0,0,0,1,0,3,1,1,44,1,0,0,1,1,0
0,1,0,1,0,0,0,0,1,0,5,1,5,28,1,0,0,0,1,0
1,1,0,1,0,0,0,0,1,0,1,1,4,67,1,0,0,1,1,0
1,1,0,1,0,0,0,0,1,0,1,1,,72,1,0,1,0,1,0
0,0,1,0,0,0,0,1,0,0,3,0,4,51,1,0,0,0,1,0
1,1,0,0,0,1,0,0,0,1,5,1,,22,1,0,0,0,1,0
1,1,0,1,0,0,0,0,1,0,3,1,1,27,1,0,1,1,1,1
1,0,0,0,0,0,1,0,0,0,1,1,1,79,1,0,1,0,1,0
1,0,0,0,0,0,1,0,0,1,1,1,3,59,1,0,1,0,1,0
0,0,0,0,0,0,1,1,0,0,3,0,1,63,1,1,0,1,1,0
0,1,0,1,0,0,0,0,1,0,3,0,3,41,1,0,0,1,1,0
0,0,0,0,0,0,1,0,0,1,3,1,1,49,1,0,0,1,1,0
1,1,0,1,0,0,0,0,1,0,4,1,1,40,1,0,1,1,1,0
0,0,1,0,0,0,0,0,1,0,5,0,8,34,1,0,0,0,1,1
0,0,0,0,0,0,1,0,0,0,1,0,1,87,1,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,1,1,3,67,1,0,1,0,1,0
1,0,0,0,0,0,1,0,0,1,3,1,,50,1,0,1,1,1,0
1,0,0,0,0,0,1,0,1,0,1,1,1,74,1,0,0,1,1,0
0,1,0,1,0,0,0,0,0,1,2,0,2,56,1,0,0,1,1,0
0,0,1,0,0,0,0,1,0,0,1,0,1,78,0,0,1,1,1,0
0,0,0,0,0,0,1,1,0,0,3,0,6,60,0,0,0,0,1,1
0,0,1,0,0,0,0,0,0,1,1,0,2,74,0,1,0,1,1,1
0,0,0,0,0,0,1,0,0,1,1,1,,72,0,0,1,1,1,0
1,0,0,0,0,0,1,0,0,1,5,1,,25,0,0,0,1,1,0
0,0,0,0,0,0,1,0,0,0,,0,,64,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,2,0,1,53,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,1,3,1,1,46,0,0,1,0,1,0
0,0,1,0,0,0,0,0,1,0,3,1,1,36,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,1,0,,55,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,1,3,1,5,34,0,0,0,1,1,0
0,0,1,0,0,0,0,0,0,1,5,0,5,55,0,0,1,0,1,0
0,0,0,0,0,0,1,0,0,1,5,0,,28,0,0,1,1,1,1
0,0,0,0,0,0,1,1,0,0,4,0,7,68,0,0,0,0,1,1
1,0,0,0,0,0,1,0,0,0,1,1,1,82,0,0,0,1,1,0
0,0,0,0,1,0,0,1,0,0,5,1,3,39,0,0,0,0,1,1
0,0,0,0,0,0,1,1,0,0,1,0,1,63,0,0,1,1,1,0
0,0,0,0,0,0,1,0,0,1,3,0,7,26,0,0,0,1,1,0
0,0,0,0,0,0,1,1,0,0,1,1,1,77,0,0,1,1,1,0
1,1,0,1,0,0,0,0,0,1,4,1,9,70,0,1,0,1,1,1
1,0,0,0,0,0,1,0,0,1,5,1,8,46,0,1,1,1,1,1
0,0,0,0,0,0,1,0,0,0,1,0,,66,0,0,1,1,0,1
0,0,1,0,0,0,0,0,0,1,5,0,8,21,0,0,0,0,1,0
0,0,0,0,1,0,0,1,0,0,5,0,5,42,0,1,0,0,1,0
0,0,0,0,0,0,1,1,0,0,3,0,6,56,0,1,0,1,1,0
0,0,1,0,0,0,0,0,0,1,5,0,7,25,0,1,1,0,1,0
0,0,1,0,0,0,0,0,1,0,1,1,,66,0,0,1,0,1,0
1,0,1,0,0,0,0,0,0,1,5,1,10,62,0,0,0,1,1,1
1,1,0,1,0,0,0,0,1,0,5,1,3,54,0,0,1,1,1,1
0,0,0,0,0,0,1,0,0,0,1,1,5,88,0,0,1,0,0,1
1,1,0,1,0,0,0,0,0,1,1,1,5,61,0,0,1,1,1,0
0,0,0,0,0,0,1,0,0,1,5,1,7,31,0,0,1,0,1,0
1,0,0,0,0,0,1,0,0,1,1,1,2,65,0,0,0,0,1,1
0,1,0,0,0,1,0,0,0,1,3,1,6,30,0,0,1,1,1,0
1,1,0,1,0,0,0,1,0,0,5,1,10,37,0,0,0,1,1,1
1,0,0,0,0,0,1,0,0,1,5,0,8,56,0,0,0,0,1,1
0,0,0,0,1,0,0,0,0,1,5,0,9,42,0,0,0,0,1,1
0,1,0,1,0,0,0,0,1,0,1,1,6,86,0,0,0,1,1,0
1,1,0,1,0,0,0,0,1,0,4,1,2,56,0,1,1,1,1,0
1,0,0,0,0,0,1,0,1,0,4,0,8,49,0,1,0,1,1,1
0,0,1,0,0,0,0,1,0,0,5,0,6,29,0,1,0,1,1,0
0,0,0,0,0,0,1,0,0,0,2,1,1,60,0,0,1,0,1,0
0,0,1,0,0,0,0,0,0,1,4,1,5,46,0,0,1,0,1,1
0,0,1,0,0,0,0,1,0,0,2,1,1,76,0,1,1,1,1,1
1,1,0,1,0,0,0,0,1,0,3,1,6,60,0,0,1,0,1,1
0,0,1,0,0,0,0,0,0,1,5,0,10,36,0,0,1,0,1,0
0,1,0,1,0,0,0,0,0,1,4,0,7,50,0,1,1,1,1,0
1,0,0,0,0,0,1,0,1,0,5,1,10,54,0,0,0,0,1,1
1,1,0,1,0,0,0,0,1,0,5,1,7,34,0,0,1,0,1,1
0,0,0,0,0,0,1,0,1,0,3,1,5,56,0,0,1,0,1,1
0,0,1,0,0,0,0,1,0,0,3,0,4,36,0,0,1,1,1,1
1,1,0,1,0,0,0,0,0,1,5,1,9,34,0,0,0,1,1,1
0,0,0,0,0,0,1,0,0,1,4,0,,38,0,0,0,1,1,1
1,1,0,1,0,0,0,0,0,1,2,1,1,57,0,0,0,1,1,0
0,0,0,0,0,0,1,0,1,0,5,0,7,29,0,0,0,0,1,0
1,1,0,1,0,0,0,0,1,0,2,1,2,60,0,0,1,1,1,0
0,0,1,0,0,0,0,1,0,0,1,0,3,87,0,1,0,0,1,1
1,1,0,1,0,0,0,0,0,1,5,1,,26,0,0,0,0,1,0
1,1,0,1,0,0,0,0,0,1,5,1,8,33,0,0,0,0,1,1
1,1,0,1,0,0,0,0,1,0,4,1,1,57,0,0,1,1,1,1
1,0,0,0,0,0,1,0,0,1,1,1,1,86,0,0,1,1,1,0
1,1,0,1,0,0,0,0,1,0,5,0,1,44,0,0,1,1,1,0
1,1,0,1,0,0,0,0,1,0,5,1,10,62,0,0,1,1,1,0
0,0,0,0,0,0,1,0,0,1,5,1,,44,0,0,0,0,1,1
1,1,0,1,0,0,0,0,1,0,5,1,10,22,0,0,0,1,1,1
0,0,0,0,0,0,1,0,0,1,5,0,7,51,0,0,1,1,1,1
0,0,1,0,0,0,0,1,0,0,3,0,,100,0,1,0,1,1,0
1,1,0,1,0,0,0,0,1,0,2,1,1,72,1,0,0,1,1,0
0,0,0,0,0,0,1,0,0,1,3,0,1,74,1,0,1,1,1,0
1,1,0,1,0,0,0,0,1,0,2,1,8,56,1,0,1,1,1,1
0,0,1,0,0,0,0,0,0,1,3,1,1,49,1,0,1,0,1,0
0,0,1,0,0,0,0,0,0,1,4,1,2,49,1,0,1,1,1,1
1,1,0,1,0,0,0,0,1,0,3,1,4,70,1,0,0,1,1,0
1,0,0,0,0,0,1,1,0,0,1,1,1,74,1,0,1,1,1,0
1,1,0,0,0,1,0,0,1,0,5,1,5,22,1,0,0,0,1,0
1,1,0,1,0,0,0,0,0,1,1,1,1,60,1,0,0,0,1,0
0,0,1,0,0,0,0,0,0,1,5,0,3,42,1,0,1,0,1,1
0,0,0,0,0,0,1,1,0,0,3,1,5,47,1,0,0,1,1,0
1,1,0,1,0,0,0,0,0,1,5,1,5,31,1,0,1,1,1,1
1,1,0,1,0,0,0,0,1,0,5,1,7,35,1,0,0,1,1,1
1,1,0,1,0,0,0,0,1,0,3,1,4,44,1,0,0,0,1,1
0,0,1,0,0,0,0,0,0,1,3,1,1,51,1,1,1,0,1,0
1,0,0,0,0,0,1,0,1,0,3,0,1,45,1,0,1,1,1,0
0,0,0,0,0,0,1,0,0,1,5,1,,25,1,0,0,1,1,0
0,0,1,0,0,0,0,1,0,0,3,1,1,59,1,0,1,0,1,0
0,0,0,0,0,0,1,0,0,1,1,0,,35,1,0,1,0,1,0
0,0,0,0,0,0,1,0,0,1,5,0,3,64,1,1,0,1,1,1
1,1,0,1,0,0,0,0,0,1,3,0,3,62,1,0,1,1,1,0
0,0,1,0,0,0,0,0,0,1,3,0,1,49,1,0,0,1,1,1
0,0,1,0,0,0,0,0,0,1,3,1,2,49,1,0,1,1,1,1
0,0,0,0,0,0,1,0,0,1,3,1,3,46,1,0,1,0,1,1
0,0,1,0,0,0,0,1,0,0,1,0,9,61,1,0,1,1,1,1
0,0,1,0,0,0,0,0,0,1,1,1,,80,1,0,1,0,1,1
0,0,0,0,0,0,1,0,0,1,2,1,,59,1,0,0,1,1,0
1,0,0,0,0,0,1,0,0,1,5,0,,22,1,0,0,0,1,1
1,1,0,1,0,0,0,0,1,0,5,1,5,28,1,0,1,0,1,1
1,1,0,1,0,0,0,0,0,1,3,0,1,64,1,0,1,0,1,1
1,1,0,1,0,0,0,0,0,1,3,1,6,58,1,0,1,1,1,0
1,1,0,1,0,0,0,0,0,1,2,1,8,57,1,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,3,0,,64,1,0,0,1,1,1
1,0,0,0,0,0,1,0,0,1,3,1,3,40,1,0,0,1,1,0
1,0,1,0,0,0,0,0,0,1,5,1,10,24,1,0,0,1,1,0
0,1,0,0,0,1,0,0,1,0,5,1,,33,1,0,1,1,1,1
0,0,1,0,0,0,0,1,0,0,4,0,4,61,1,1,0,0,1,1
1,1,0,1,0,0,0,0,0,1,1,1,,65,1,0,1,1,1,0
1,1,0,1,0,0,0,1,0,0,5,1,7,53,1,0,0,1,1,1
1,1,0,1,0,0,0,0,1,0,5,1,9,34,1,0,0,0,1,1
1,0,0,0,0,0,1,0,1,0,1,1,1,59,1,0,1,1,1,0
0,0,1,0,0,0,0,0,0,1,3,0,8,55,1,0,0,1,1,1
1,1,0,1,0,0,0,0,1,0,4,1,,61,1,0,0,1,1,1
1,1,0,1,0,0,0,0,1,0,2,1,4,48,1,0,0,1,1,0
1,0,0,0,0,0,1,0,0,0,1,0,,81,1,0,1,0,1,0
1,1,0,1,0,0,0,0,0,0,5,0,5,64,1,0,0,1,1,0
0,0,1,0,0,0,0,0,0,1,1,0,1,91,1,1,0,1,1,0
1,0,1,0,0,0,0,0,1,0,3,1,6,35,1,0,0,0,1,0
1,1,0,1,0,0,0,0,1,0,1,1,,65,1,0,1,1,1,1
1,0,0,0,0,0,1,0,1,0,5,1,8,43,1,0,0,1,1,1
0,0,1,0,0,0,0,0,0,1,3,0,2,52,1,0,1,1,1,1
0,0,0,0,0,0,1,0,0,1,1,1,,55,1,0,1,1,1,0
0,0,0,0,0,0,1,0,0,1,4,1,,33,1,0,0,0,1,1
0,0,0,0,0,0,1,0,0,1,3,1,,35,1,0,1,1,1,1
0,0,0,0,0,0,1,0,0,1,2,1,,53,1,0,0,1,1,0
0,0,0,0,0,0,1,0,0,1,3,1,,39,1,0,0,1,1,0
1,1,0,1,0,0,0,1,0,0,1,1,6,63,0,0,0,1,1,0
0,0,1,0,0,0,0,1,0,0,5,1,10,60,0,0,0,1,1,1
0,1,0,1,0,0,0,0,1,0,2,0,8,56,0,0,0,1,1,0
1,1,0,1,0,0,0,0,0,1,4,0,,42,0,0,0,1,1,0
0,0,0,0,0,0,1,0,0,0,5,0,6,55,0,0,1,1,1,0
0,0,1,0,0,0,0,0,0,1,5,1,,61,0,1,1,1,1,0
1,1,0,1,0,0,0,0,1,0,3,1,7,53,0,0,1,1,1,0
