votetsai,green,kmt,dpp,pfp,npp,noparty,unify,indep,statusquo,edu,taiwanese,income,age,south,dadmainland,female,econworse,inequality,pubwelf
0,0,0,0,0,0,1,0,1,0,2,0,1,75,0,0,0,1,1,0
1,1,0,1,0,0,0,0,0,1,5,0,10,40,0,0,0,1,1,0
0,0,0,0,1,0,0,0,0,1,3,0,5,42,0,0,0,0,1,1
1,1,0,1,0,0,0,0,1,0,1,1,1,57,0,0,1,0,1,1
0,0,1,0,0,0,0,0,0,1,5,1,3,26,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,1,5,0,,41,0,0,0,1,1,1
1,1,0,1,0,0,0,1,0,0,3,0,9,73,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,1,3,1,9,27,0,0,0,0,1,0
0,0,1,0,0,0,0,0,0,1,5,0,7,34,0,0,0,0,1,1
1,1,0,1,0,0,0,0,0,1,1,1,6,66,0,0,1,1,1,0
0,0,0,0,1,0,0,0,0,1,5,0,7,42,0,0,1,0,1,1
0,0,1,0,0,0,0,1,0,0,3,0,2,67,0,1,0,0,1,1
0,0,1,0,0,0,0,0,0,1,5,1,7,44,0,0,1,1,1,1
1,1,0,1,0,0,0,0,0,1,2,1,4,48,0,0,0,1,1,0
0,0,0,0,0,0,1,0,0,1,3,1,3,40,0,1,1,0,1,0
0,0,1,0,0,0,0,0,0,1,4,0,8,51,0,1,0,0,1,1
0,0,0,0,0,0,1,0,0,1,3,0,7,62,0,0,1,1,1,1
0,0,1,0,0,0,0,0,0,1,3,0,5,46,0,1,1,1,0,1
0,0,0,0,1,0,0,0,1,0,4,1,7,55,0,1,0,0,0,1
0,0,1,0,0,0,0,0,1,0,5,1,5,21,0,0,1,0,1,1
0,0,0,0,0,0,1,0,0,1,5,0,3,49,0,0,0,1,1,1
0,0,0,0,0,0,1,0,0,1,5,0,,32,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,1,3,0,10,25,0,0,0,1,1,1
1,1,0,1,0,0,0,0,1,0,3,1,9,51,0,0,1,1,1,0
0,0,1,0,0,0,0,0,0,1,3,0,6,62,0,0,0,1,1,0
1,1,0,0,0,1,0,0,1,0,5,0,6,24,0,0,0,1,1,1
0,0,1,0,0,0,0,0,0,1,5,0,10,64,0,1,1,1,1,0
0,0,1,0,0,0,0,0,0,1,4,0,5,38,0,0,0,1,1,1
0,0,1,0,0,0,0,0,0,1,5,0,10,46,0,0,1,0,1,1
0,0,0,0,1,0,0,0,1,0,5,0,8,41,0,0,1,0,1,1
0,0,1,0,0,0,0,0,0,1,5,0,,31,0,1,0,0,1,0
0,0,0,0,0,0,1,0,0,1,4,0,5,50,0,1,0,1,1,1
0,0,0,0,1,0,0,0,0,1,4,1,9,50,0,0,1,0,1,0
0,0,1,0,0,0,0,0,0,1,5,0,10,23,0,0,1,0,1,1
0,0,1,0,0,0,0,0,0,1,4,0,4,59,0,1,1,1,1,0
1,1,0,0,0,1,0,0,0,1,3,0,10,52,0,0,0,1,1,0
0,0,1,0,0,0,0,1,0,0,5,0,8,65,0,0,0,0,1,1
1,1,0,1,0,0,0,0,0,1,1,1,1,72,0,0,1,0,1,1
1,1,0,0,0,1,0,0,0,1,5,1,9,46,0,0,0,1,1,0
1,1,0,1,0,0,0,0,1,0,5,1,10,32,0,0,1,1,1,1
0,0,0,0,0,0,1,0,1,0,3,1,5,40,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,1,1,1,2,63,0,0,1,0,1,1
0,0,0,0,1,0,0,0,0,1,3,1,2,41,0,0,0,0,1,0
1,0,0,0,0,0,1,0,1,0,5,1,2,23,0,0,1,0,1,1
0,0,1,0,0,0,0,0,0,1,3,1,6,46,0,0,0,1,1,1
0,0,0,0,0,0,1,1,0,0,1,0,8,56,0,0,1,1,1,1
1,1,0,1,0,0,0,0,0,1,5,1,8,25,0,0,0,0,1,1
0,0,0,0,0,0,1,0,0,1,2,0,1,58,0,0,0,1,1,0
1,1,0,1,0,0,0,0,1,0,3,1,1,46,0,0,1,1,1,0
0,0,0,0,0,0,1,0,0,1,1,1,,63,0,0,1,1,1,0
0,0,1,0,0,0,0,0,0,1,2,0,6,56,0,0,0,0,1,1
0,0,0,0,0,0,1,0,0,1,1,1,,75,0,0,1,0,1,0
1,1,0,1,0,0,0,0,0,1,1,1,,57,0,0,1,0,1,1
1,1,0,1,0,0,0,0,1,0,3,1,4,40,0,0,0,0,1,0
1,0,0,0,0,0,1,0,0,1,2,0,7,63,0,1,0,0,1,1
0,0,0,0,0,0,1,0,0,1,3,1,6,30,0,0,0,0,1,1
1,1,0,1,0,0,0,0,1,0,4,1,8,24,0,0,0,1,1,1
1,1,0,1,0,0,0,0,0,1,3,0,6,37,0,0,1,0,1,1
0,0,0,0,0,0,1,0,0,0,1,1,,79,0,0,0,0,1,0
1,1,0,1,0,0,0,0,1,0,5,1,10,43,0,0,1,0,1,1
1,0,0,0,0,0,1,0,1,0,1,1,1,60,0,0,0,1,1,0
0,0,0,0,0,0,1,0,0,1,3,1,5,26,0,0,0,0,1,0
0,0,1,0,0,0,0,0,0,1,3,0,10,31,0,0,1,0,1,1
1,1,0,1,0,0,0,0,1,0,3,1,8,48,0,0,0,1,1,0
1,1,0,1,0,0,0,0,0,1,2,1,3,61,1,1,1,1,1,0
1,1,0,1,0,0,0,0,0,1,5,1,5,34,1,0,1,1,1,0
0,0,1,0,0,0,0,1,0,0,4,0,7,40,1,0,0,1,1,0
0,0,0,0,0,0,1,0,1,0,4,1,8,42,1,0,1,1,1,0
1,1,0,1,0,0,0,0,1,0,5,1,5,45,1,0,0,1,1,0
1,0,0,0,0,0,1,0,1,0,5,1,8,38,1,0,0,1,1,0
1,1,0,1,0,0,0,0,1,0,1,1,9,61,1,0,1,1,1,0
0,1,0,1,0,0,0,0,1,0,5,1,8,28,1,0,0,0,1,1
1,0,0,0,0,0,1,0,0,1,5,0,3,40,1,0,1,0,1,0
0,0,1,0,0,0,0,0,0,1,3,1,10,34,1,0,1,0,1,1
0,1,0,1,0,0,0,0,1,0,5,1,8,21,1,0,0,0,1,1
0,1,0,1,0,0,0,0,1,0,4,1,4,45,1,0,1,1,1,0
0,0,0,0,0,0,1,0,0,1,5,1,6,26,1,0,1,0,1,0
0,1,0,1,0,0,0,0,0,1,3,1,4,39,1,0,0,0,1,1
1,1,0,1,0,0,0,0,1,0,2,1,3,47,1,0,0,0,0,0
0,0,1,0,0,0,0,1,0,0,1,1,,64,1,0,1,1,1,0
1,1,0,0,0,1,0,0,1,0,5,0,9,21,1,0,0,0,1,1
0,0,0,0,0,0,1,1,0,0,4,0,1,34,1,0,1,0,1,0
0,1,0,0,0,1,0,0,0,1,4,0,6,39,1,0,0,1,1,0
1,1,0,1,0,0,0,0,0,1,3,1,3,48,1,0,1,1,1,0
1,1,0,1,0,0,0,0,0,1,1,1,8,71,1,0,0,0,1,0
1,1,0,1,0,0,0,0,1,0,5,1,8,26,1,0,1,1,1,1
1,0,0,0,0,0,1,0,0,1,2,0,9,66,1,0,1,1,1,1
0,0,1,0,0,0,0,0,1,0,4,1,8,49,1,0,0,1,1,1
1,1,0,1,0,0,0,0,0,1,4,1,8,44,1,0,1,1,1,0
0,0,0,0,0,0,1,0,0,0,3,1,,75,1,0,1,0,1,1
1,1,0,0,0,1,0,0,0,1,5,1,4,27,1,0,0,1,1,0
0,0,0,0,0,0,1,0,1,0,4,0,,36,1,0,0,0,1,0
0,1,0,0,0,1,0,0,0,1,5,0,6,47,1,1,1,0,1,0
1,1,0,1,0,0,0,0,1,0,5,1,8,23,1,0,0,0,1,1
1,1,0,1,0,0,0,0,1,0,1,1,7,65,1,0,1,1,1,0
1,1,0,1,0,0,0,0,0,1,1,1,,59,1,0,0,0,1,0
0,1,0,1,0,0,0,0,1,0,5,0,10,50,1,0,0,0,1,1
1,1,0,1,0,0,0,0,1,0,5,1,10,25,1,0,0,1,1,0
1,1,0,1,0,0,0,0,1,0,5,1,9,29,1,0,1,1,1,1
1,0,0,0,0,0,1,0,0,1,3,1,,35,1,0,0,1,1,0
1,1,0,0,0,1,0,0,1,0,5,1,1,26,1,0,0,0,1,1
1,0,0,0,0,0,1,1,0,0,3,1,5,47,1,0,1,0,0,0
0,0,0,0,0,0,1,1,0,0,1,1,5,61,1,0,1,1,1,0
1,0,0,0,0,0,1,1,0,0,1,1,2,75,1,0,1,1,1,0
1,1,0,1,0,0,0,0,1,0,5,0,10,26,1,0,0,1,1,1
1,0,0,0,0,0,1,1,0,0,1,1,,69,1,0,1,1,1,0
0,0,0,0,1,0,0,0,0,1,3,1,3,41,1,0,0,1,1,1
0,0,1,0,0,0,0,1,0,0,3,0,5,60,1,0,0,1,1,1
1,1,0,1,0,0,0,0,1,0,5,1,7,34,1,0,1,1,1,1
0,0,1,0,0,0,0,0,0,1,4,0,1,43,1,0,0,1,1,0
1,0,0,0,0,0,1,0,1,0,5,1,5,36,1,0,1,1,1,0
1,1,0,1,0,0,0,0,0,1,2,0,8,55,1,0,1,0,1,0
1,1,0,1,0,0,0,0,0,1,5,0,7,21,1,0,0,1,1,1
1,0,1,0,0,0,0,0,0,1,2,0,2,60,1,0,0,1,1,1
0,0,0,0,0,0,1,0,0,0,1,0,1,66,1,0,1,1,1,0
1,0,0,0,0,0,1,0,0,1,3,0,1,76,1,0,0,1,1,0
1,1,0,1,0,0,0,0,0,1,5,1,2,24,1,0,0,1,1,1
1,0,0,0,0,0,1,0,0,0,1,1,1,64,1,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0,1,0,3,41,1,0,1,1,1,0
0,0,1,0,0,0,0,0,0,1,5,0,9,32,1,0,0,0,1,1
1,0,0,0,0,0,1,0,1,0,3,1,6,47,1,0,0,1,1,1
1,0,1,0,0,0,0,1,0,0,5,0,5,35,1,0,0,0,1,1
1,0,0,0,0,0,1,0,1,0,5,1,6,21,1,0,1,0,1,1
0,0,1,0,0,0,0,0,0,1,3,1,10,52,1,0,1,1,1,0
1,0,0,0,0,0,1,0,0,1,3,1,3,61,1,0,0,1,1,0
1,1,0,1,0,0,0,0,1,0,4,0,3,30,1,0,0,1,1,0
0,1,0,1,0,0,0,0,1,0,5,1,4,37,1,0,1,0,1,1
1,1,0,1,0,0,0,0,0,1,1,1,1,80,1,0,0,1,1,0
1,1,0,1,0,0,0,0,1,0,1,1,2,57,1,0,1,1,1,0
0,0,0,0,0,0,1,0,0,1,1,1,1,64,1,0,1,1,1,0
0,0,0,0,1,0,0,0,0,1,3,0,6,62,1,0,0,0,1,0
0,0,1,0,0,0,0,0,0,1,3,0,1,60,1,0,0,1,1,1
1,1,0,1,0,0,0,0,1,0,3,1,10,59,1,0,1,1,1,0
0,0,0,0,0,0,1,0,0,0,3,0,,60,1,1,1,1,0,0
0,0,0,0,0,0,1,0,0,1,1,1,1,67,1,0,1,1,1,1
1,1,0,1,0,0,0,0,1,0,4,1,9,43,1,0,0,1,1,1
1,1,0,1,0,0,0,0,0,1,1,1,,69,1,0,1,1,1,0
0,1,0,1,0,0,0,0,1,0,3,1,6,32,1,0,0,1,1,0
1,1,0,1,0,0,0,0,0,1,2,1,6,46,1,0,1,1,1,0
0,1,0,1,0,0,0,0,1,0,3,1,10,55,1,0,0,1,1,1
0,0,1,0,0,0,0,1,0,0,4,0,4,49,1,0,0,1,1,0
1,0,0,0,0,0,1,1,0,0,5,0,5,41,1,0,0,1,1,0
1,0,0,0,0,0,1,0,0,1,1,1,,92,1,0,1,1,1,0
0,0,1,0,0,0,0,0,0,1,1,0,1,64,1,0,1,1,1,1
1,1,0,1,0,0,0,0,0,1,2,1,4,49,1,0,1,0,1,1
0,0,1,0,0,0,0,0,0,1,1,1,,86,1,0,0,0,1,1
0,0,0,0,0,0,1,0,0,1,5,1,6,44,1,0,1,0,1,1
0,0,1,0,0,0,0,1,0,0,3,0,9,35,1,0,0,1,1,0
0,0,1,0,0,0,0,0,0,1,3,1,,50,1,0,0,1,1,0
0,1,0,1,0,0,0,1,0,0,3,0,,45,1,0,1,0,0,0
0,0,0,0,0,0,1,0,0,1,5,1,9,26,1,0,0,1,1,0
1,1,0,1,0,0,0,0,0,1,4,1,6,38,1,0,1,1,1,0
1,1,0,1,0,0,0,0,0,0,1,0,,78,1,0,1,0,0,0
0,0,1,0,0,0,0,0,1,0,1,0,1,95,1,1,0,0,1,0
0,0,1,0,0,0,0,0,0,0,5,0,,66,1,0,1,0,1,0
0,1,0,1,0,0,0,0,1,0,3,1,,39,1,0,0,0,1,0
0,0,0,0,0,0,1,0,1,0,2,1,,32,1,0,0,1,1,1
0,0,1,0,0,0,0,1,0,0,2,0,,85,1,1,0,1,1,0
0,0,1,0,0,0,0,0,0,0,4,0,2,52,1,0,1,0,1,1
1,1,0,1,0,0,0,0,1,0,1,1,1,66,1,0,1,1,1,0
0,0,0,0,0,0,1,1,0,0,3,1,1,34,1,0,0,1,1,0
0,0,0,0,0,0,1,0,0,1,2,0,1,82,1,1,0,0,0,1
0,0,0,0,0,0,1,0,0,1,3,0,4,52,1,0,1,0,1,0
1,0,0,0,0,0,1,0,1,0,1,1,9,69,1,0,0,1,1,0
1,1,0,1,0,0,0,0,1,0,5,0,5,23,1,0,0,0,1,0
0,1,0,1,0,0,0,0,1,0,3,1,2,25,1,0,1,1,1,0
0,0,0,0,0,0,1,0,1,0,3,1,7,60,1,0,0,1,1,0
1,1,0,1,0,0,0,0,1,0,5,1,7,32,1,0,0,0,1,0
1,1,0,1,0,0,0,0,1,0,1,1,10,77,1,0,0,1,0,1
0,0,0,0,0,0,1,0,0,0,1,0,,65,1,1,1,0,0,0
0,0,1,0,0,0,0,0,0,1,3,0,4,34,1,1,1,0,1,1
0,1,0,0,0,0,0,0,1,0,1,1,10,80,1,0,1,1,1,0
0,0,1,0,0,0,0,0,1,0,4,0,2,40,1,0,0,1,1,1
1,1,0,1,0,0,0,0,0,1,5,1,9,32,1,0,0,1,1,1
0,0,0,0,0,0,1,0,0,1,3,1,8,50,1,0,1,1,1,0
0,0,1,0,0,0,0,0,0,0,1,1,,39,1,0,1,1,1,0
1,1,0,1,0,0,0,0,1,0,4,1,,49,1,0,0,1,1,0
1,0,0,0,0,0,1,0,0,1,3,1,3,28,1,0,0,1,1,0
1,1,0,1,0,0,0,0,0,1,4,1,,61,1,0,1,1,1,0
1,1,0,0,0,1,0,0,1,0,5,1,10,26,0,0,1,0,1,1
1,1,0,1,0,0,0,0,0,1,2,1,5,48,0,0,0,1,1,1
0,0,0,0,0,0,1,0,1,0,2,1,3,34,0,0,1,0,0,0
0,1,0,0,0,1,0,0,0,1,5,1,5,32,0,0,0,0,1,1
0,0,1,0,0,0,0,1,0,0,3,0,10,55,0,0,0,1,1,0
1,0,0,0,0,0,1,0,0,1,1,1,1,54,0,0,1,1,1,0
0,1,0,1,0,0,0,0,0,1,3,1,10,37,0,0,0,1,1,0
0,0,1,0,0,0,0,0,0,1,1,0,2,61,0,0,1,0,1,0
1,1,0,0,0,1,0,0,0,1,5,1,7,38,0,0,1,1,1,1
0,0,0,0,0,0,1,0,0,0,3,1,1,33,0,0,1,0,0,1
0,0,0,0,0,0,1,0,0,1,1,1,9,54,0,1,0,1,1,0
0,0,0,0,0,0,1,0,1,0,5,0,9,47,0,0,0,1,1,1
1,1,0,1,0,0,0,0,1,0,3,1,,60,0,0,0,1,1,0
0,0,0,0,0,0,1,0,0,1,5,1,,28,0,0,1,1,1,0
0,0,0,0,0,0,1,0,0,1,5,0,2,23,0,0,0,0,1,0
0,0,1,0,0,0,0,0,0,1,1,0,8,75,0,0,1,0,1,1
0,0,0,0,0,0,1,0,0,1,3,1,4,40,0,0,1,0,1,0
0,1,0,0,0,1,0,0,1,0,5,1,6,38,0,0,0,1,1,1
0,0,0,0,0,0,1,0,0,1,5,1,9,35,0,0,1,0,1,1
0,0,0,0,0,0,1,0,0,1,5,0,3,24,0,0,1,0,1,1
0,0,0,0,1,0,0,0,1,0,5,1,1,21,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,1,5,0,7,83,0,1,0,0,1,1
1,1,0,1,0,0,0,0,1,0,5,1,9,25,0,0,1,0,1,1
0,1,0,1,0,0,0,1,0,0,,1,,24,0,0,0,0,1,0
0,0,0,0,0,0,1,0,1,0,3,1,4,42,0,1,0,1,1,0
1,0,0,0,0,0,1,0,0,0,1,0,1,72,0,0,1,0,0,0
1,1,0,1,0,0,0,0,1,0,5,1,2,22,0,0,1,1,1,0
1,0,0,0,0,0,1,0,0,1,3,1,1,55,0,0,1,1,1,0
1,1,0,1,0,0,0,0,1,0,3,1,2,54,0,0,0,0,1,0
1,1,0,1,0,0,0,0,0,1,5,1,10,28,0,0,0,1,1,0
1,0,0,0,0,0,1,0,0,1,5,1,10,25,0,0,1,0,1,0
1,0,0,0,0,0,1,0,1,0,5,1,6,37,0,0,0,1,1,0
0,0,0,0,0,0,1,0,1,0,3,1,5,46,0,0,1,1,1,1
0,0,0,0,0,0,1,0,0,0,3,0,,61,0,0,1,0,1,0
0,1,0,1,0,0,0,0,1,0,1,1,1,43,0,0,0,0,1,1
1,1,0,1,0,0,0,0,0,1,5,1,,24,0,0,0,1,1,1
0,0,0,0,0,0,1,0,0,1,1,1,10,73,0,0,1,1,1,0
0,0,0,0,0,0,1,0,0,1,2,1,,48,0,0,0,0,1,0
1,1,0,0,0,1,0,0,0,1,5,1,9,30,0,0,0,1,1,1
0,1,0,1,0,0,0,0,0,1,3,1,8,41,0,0,0,1,1,0
1,1,0,1,0,0,0,0,0,1,,1,,67,0,0,1,1,1,0
1,0,0,0,0,0,1,0,0,1,5,1,10,29,0,0,0,1,1,0
0,0,1,0,0,0,0,1,0,0,3,0,5,65,0,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,1,1,,76,0,0,0,0,0,0
0,0,1,0,0,0,0,1,0,0,4,0,6,52,0,0,0,1,1,0
0,0,0,0,0,0,1,0,0,0,2,1,5,53,0,0,1,0,1,0
0,0,1,0,0,0,0,0,0,1,5,1,6,26,0,0,0,0,1,0
0,0,1,0,0,0,0,1,0,0,3,0,8,56,0,0,0,0,1,1
0,1,0,1,0,0,0,0,0,1,5,0,,37,0,0,0,0,1,1
0,1,0,1,0,0,0,0,0,1,3,0,,60,0,0,1,1,1,1
0,0,1,0,0,0,0,0,0,1,4,1,6,46,0,1,1,1,1,0
1,0,0,0,0,0,1,0,1,0,5,0,9,31,0,0,1,0,1,1
0,0,0,0,1,0,0,0,0,1,4,0,,50,0,0,0,1,1,0
0,1,0,0,0,1,0,0,1,0,4,1,3,32,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,1,5,1,6,23,0,0,0,0,1,1
0,0,0,0,0,0,1,0,0,1,2,0,,50,0,0,1,1,1,1
1,1,0,1,0,0,0,0,1,0,5,1,10,30,0,0,0,1,1,1
1,1,0,1,0,0,0,0,1,0,1,1,,55,0,0,0,0,1,0
1,1,0,1,0,0,0,0,1,0,5,1,2,28,0,0,1,0,1,0
1,1,0,1,0,0,0,0,0,1,5,0,6,21,0,0,1,1,1,1
0,0,1,0,0,0,0,0,0,1,3,0,1,56,0,0,0,0,1,1
1,1,0,1,0,0,0,0,1,0,5,1,4,68,0,0,0,1,1,0
0,0,1,0,0,0,0,0,0,1,2,1,10,69,0,0,1,1,1,0
0,0,1,0,0,0,0,0,1,0,5,1,5,30,0,0,1,0,1,0
0,0,1,0,0,0,0,0,0,1,3,0,,51,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,1,0,,78,0,0,1,0,0,0
1,0,0,0,0,0,1,1,0,0,3,0,6,32,1,1,0,0,1,1
0,0,1,0,0,0,0,1,0,0,3,0,1,40,1,0,1,1,1,1
0,0,0,0,0,0,1,0,0,0,1,1,,49,1,0,1,1,1,0
0,0,1,0,0,0,0,0,0,1,1,1,,69,1,0,1,1,1,1
0,0,0,0,0,0,1,0,1,0,2,1,3,23,1,0,0,1,1,0
1,0,0,0,0,0,1,0,0,1,1,1,,59,1,0,1,1,1,0
0,0,0,0,0,0,1,0,0,1,5,1,1,22,1,0,1,0,1,1
0,0,0,0,0,0,1,0,0,1,2,0,1,58,1,0,0,1,1,0
1,1,0,1,0,0,0,0,1,0,3,1,5,22,1,0,1,0,0,0
1,1,0,1,0,0,0,0,1,0,1,1,1,76,1,0,1,0,1,0
1,0,0,0,0,0,1,0,0,1,2,1,6,50,1,0,0,0,1,0
1,0,0,0,0,0,1,1,0,0,1,0,7,59,1,0,0,0,1,1
0,0,1,0,0,0,0,1,0,0,1,0,10,73,1,0,0,0,1,1
1,0,0,0,0,0,1,0,0,1,3,1,1,34,1,0,0,1,1,0
0,0,1,0,0,0,0,1,0,0,4,0,7,48,1,0,0,1,1,1
0,0,1,0,0,0,0,0,0,1,3,1,2,50,1,0,1,1,1,0
0,0,0,0,0,0,1,0,0,1,5,0,,21,1,0,0,0,1,1
1,1,0,1,0,0,0,0,0,1,5,0,,68,1,0,1,0,1,1
1,1,0,1,0,0,0,0,0,1,5,0,8,31,1,0,0,1,1,0
1,1,0,1,0,0,0,0,0,1,3,0,10,71,1,0,0,1,1,0
1,1,0,1,0,0,0,0,1,0,2,1,3,54,1,0,0,1,1,0
0,0,0,0,0,0,1,1,0,0,3,0,10,37,1,0,0,0,1,1
0,0,1,0,0,0,0,1,0,0,4,0,9,45,1,0,0,0,1,0
0,0,0,0,1,0,0,0,0,1,5,0,10,29,1,0,0,0,1,1
0,0,1,0,0,0,0,0,0,1,3,1,8,29,1,0,1,1,1,0
1,1,0,1,0,0,0,0,0,1,3,0,1,49,1,0,0,0,1,0
0,0,0,0,0,0,1,0,0,0,1,0,,77,1,0,1,0,0,0
0,0,0,0,0,0,1,0,0,1,1,1,,60,1,0,1,0,0,1
0,0,1,0,0,0,0,0,0,1,3,1,,48,1,0,1,1,1,0
0,0,0,0,0,0,1,0,0,1,5,0,10,31,1,0,1,1,1,0
1,1,0,0,0,1,0,0,1,0,5,1,9,22,1,0,1,1,1,0
1,0,0,0,0,0,1,0,0,1,1,0,,68,1,0,0,1,1,0
0,0,0,0,0,0,1,1,0,0,5,0,5,47,1,0,0,1,1,0
1,1,0,1,0,0,0,0,1,0,2,1,5,56,1,0,0,1,1,0
0,0,1,0,0,0,0,0,0,1,2,0,5,51,1,0,0,1,1,1
1,0,0,0,0,0,1,0,0,1,3,1,,44,1,0,1,0,1,1
0,0,0,0,0,0,1,0,0,1,2,0,,53,1,0,1,1,1,1
